player,team,position,scouting_report
Valeri Nichushkin,Colorado Avalanche,Forward,"A top-line two-way winger whose rare combination of size, speed, skill, and hard work makes him a force on the ice. Uses his big frame, high-end skating, and excellent hands to carry the puck in transition, leading to lots of rush opportunities. Not afraid to go to the net and jam at pucks in the blue paint, and is effective as a screener and deflector. Not a flashy or ambitious passer but an effective one who can hit the trailer, has a nice touch around the net, and has a good eye for short one-time options. Is at his most impactful as a two-way player when he uses his physical gifts to win races and battles for loose pucks and pressure opposing defenders."
Cale Makar,Colorado Avalanche,Defence,"A superstar offensive defenceman who plays with the skill of an elite scoring forward. Between his unbelievable skating ability (which allows him to gallop up the ice with speed, walk the blueline gracefully, and skate backwards with elite agility), his sensational hands, a high hockey I.Q., and one of the absolute best shots in hockey, he’s a terror when he hits the ice, especially when paired with high-end forwards to work with. He gets himself into prime scoring locations at a higher rate than any other defenceman, jumping up in the play and either taking the chances himself or exploiting his gravity to hit a teammate in a high-danger area. An active defender who blocks passing lanes, recovers pucks, and has always defended the rush well using his excellent skating to disrupt opponents."
Devon Toews,Colorado Avalanche,Defence,"A top-pairing two-way defenceman with tremendous skills both on and off the puck. Combines smooth skating, an active stick, and elite puck-moving to tilt the ice and complement skilled linemates. Because of his speed he can afford to be proactive snuffing out plays and aggressively attacking the puck with stick checks while cutting off lanes with his skates; also intercepts passes and clearing attempts by pushing off into them. It doesn’t hurt that he can turn defence to offence quicker than almost anyone in the game and connect on long-distance stretch passes. Smart and adaptable, putting himself in the right positioning offensively to both act as a safety valve while linemates get ambitious and give them a sneaky and undetected option who’s a threat to score himself. Like many relatively undersized blueliners, his primary weakness comes right at the net-mouth where he can get out-muscled and lose track of the play and where his skating ceases to be an advantage."
Samuel Girard,Colorado Avalanche,Defence,"A mobile puck-moving defenceman whose agility and creativity with the puck combine with his minute size to make him one of the more unique players in the league. Moves nimbly and confidently up the ice with the puck and swings around the top of the offensive zone, occupying defenders and opening space which he can exploit with a quick pass or a low shot into traffic. Not a liability defensively but definitely exploitable as he can make the wrong read defending the rush and get easily outmuscled in tight."
Charlie Coyle,Columbus Blue Jackets,Forward,"A veteran net-crashing centre. Underratedly slick hands on both sides of the puck, forcing turnovers and making smooth passes into the slot look easy. As a scorer, does all his damage within a few feet of the net, getting his stick on the ice for cross-crease one-timers and deflections and occasionally showing off those hands again. An average skater who brings some size and physicality, although despite often being deployed as a shut-down centre and being an effective one-on-one defender he struggles to suppress scoring chances."
Adam Fantilli,Columbus Blue Jackets,Forward,"A developing scoring centre whose elite tools give him sky-high upside. Possesses size, elite speed, a deadly shot, and tons of power as he barrels up ice and forces defences to react quick or get blown past. His release is quick and lethal, allowing him to beat goalies from anywhere on the ice and get clean shots off with very little space. He’s especially dangerous off the rush and creates a lot of breakaways where his signature backhand-forehand move crosses goalies up surprisingly often. Flashes jaw-dropping passing skill but can sometimes push the pace a bit too much and end up turning the puck over or making the wrong read. Has a very high motor and eagerly participates defensively, breaking up plays with his stick and generating counter-attacks, but is similarly unpolished without the puck."
Boone Jenner,Columbus Blue Jackets,Forward,
Kent Johnson,Columbus Blue Jackets,Forward,"A developing play-making winger with dynamic and deceptive puck skills. Aware of the limits posed by his below-average speed and lack of strength, he prioritizes creativity and manipulation, reading the play and staying out of the fray without the puck before attacking open space, liberally deploying fake passes and shots, and misdirecting defencemen and goaltenders. Moves with agility around the zone and fires the puck halfway through dekes, catching goalies off guard. Active on the forecheck and plays with a high motor defensively, even though his physicality is non-existent and his awareness in his own end isn’t fully developed."
Kirill Marchenko,Columbus Blue Jackets,Forward,"A first line offensive winger with dynamic puck skills and a high-end shot. Possesses the confidence and ability to attempt and execute ambitious plays with the puck, aggressively attacking the triangle or evading poke checks with curl-and-drag moves. Uses quick acceleration and his big frame to blow past and protect the puck from defenders while forcing opponents to respect both his wrist shot abilities and slick playmaking. Talented at reeling in less-than-ideal passes and advancing the play without hesitation."
Sean Monahan,Columbus Blue Jackets,Forward,"A top-six utility centre who brings a stabilizing playmaking presence, occupying the middle of the ice and making simple and smart plays to advance the play. Posts up in the net-front, crashing for rebounds and screening the goalie, but knows when to disengage and hide at the back-door for a cross-slot feed. A keen puck-battler with a great stick who can win pucks off the wall and maintain offensive zone possessions. An effective if not flashy passer who reads the play quickly and delivers short, precise feeds up ice to quicker linemates in transition or through the slot within the zone. Diminished foot-speed makes him more of a fill-in-the-blanks player now, but it’s a role he can play effectively."
Miles Wood,Columbus Blue Jackets,Forward,"A speedy rushing winger who plays a run-and-gun game, crashes the net, and finishes his checks. Uses his near-league-best footspeed to create piles of rush opportunities both for himself and his linemates while contributing a physical element, but struggles to finish his chances and gives up a lot the other way as a result. That he’s not quite skilled enough to earn a larger role but too one-dimensional player to anchor a defensive bottom six line makes him tough to slot in."
Dmitri Voronkov,Columbus Blue Jackets,Forward,"A developing power forward whose size and positioning have allowed him to carve out a role as a net-front puck battler and garbage-goal scorer. Spends very little time with the puck on his stick, as his lack of grace as a skater and handler prevent him from creating much. What he does do is post up in the inner slot, win position, fight for pucks along the wall, and smack home pucks. Has the smarts to smack pucks off the wall or through the slot to his linemates but doesn’t exactly have finesse as a passer. Finishes his checks but is otherwise extremely uninvolved defensively and takes a ton of penalties."
Ivan Provorov,Columbus Blue Jackets,Defence,"A veteran defenceman who can absorb heavy minutes with decent positioning, serviceable puck battling, and some puck-moving and carrying ability. Not advanced enough in any one area of the game to drive play and has become increasingly exploitable off the rush."
Zach Werenski,Columbus Blue Jackets,Defence,"A number one offensive defenceman who dominates when he’s at his best, using elite skating and superb puck skills to break apart his opponent’s structure and create offence. Prowls the blue-line constantly reading the play and identifying opportunities to leap into the slot, and doesn’t hesitate to make the ultra-aggressive play to pinch along the boards or shut down a break out because he trusts himself to execute. Carries the puck with real authority, always scanning and using pivots and fakes to buy himself more time as he navigates the neutral and offensive zone and protecting the puck with a solid base. Has a heavy shot from the point but is always looking for ways to get in tighter and make his chances more dangerous. An elite puck-mover whose awareness and versatility in transition constantly keep opponents guessing and is liable to snap a game-breaking stretch pass to a streaking linemate. An imperfect defensive player, and certainly not a physical one, but extremely active in his own end aggressively killing plays, blocking lanes, and winning races to loose pucks."
Matt Duchene,Dallas Stars,Forward,"A veteran top six offensive centre who uses smooth skating and high-end hands to navigate the ice and create scoring chances for him and his linemates. While no longer one of the fastest players in the league, he’s still quick and crafty enough to carry the puck through the neutral zone and generate rush opportunities at elite rates, often dangling around opposing defenders in the process. His comfort holding on to the puck against pressure opens up lanes in the offensive zone and he has enough playmaking skill to exploit them both in transition and on extended possessions. Can beat goalies from the high slot with a deadly wrist shot but has no issue shooting for deflections in front. Not a physical player at all, but sneaks into the slot to receive passes and take quick shots. Not a strong defender and is mostly focused on going from defence to offence rather than battling for pucks or pitching in on the forecheck."
Mikael Granlund,Dallas Stars,Forward,"A veteran pass-first offensive forward. Patient and deliberate with the puck, capable of executing high-skilled passing plays through dangerous areas of the ice. Challenges defenders and opens up passing lanes with soft hands, setting up one-timers around the offensive zone. A low-volume shooter who occasionally dazzles with a perfectly-placed wrist shot when he has time and space. By no means a lazy defensive player and often takes on penalty-killing responsibilities, but gives up a lot of chances by virtue both of his lack of foot-speed on the back-check and awareness in his own end; it is not uncommon to see him caught chasing and flailing at the puck ineffectively on d-zone sequences. As a result, while his playmaking skill-set suits him offensively at centre, he can cancel out that impact defensively."
Roope Hintz,Dallas Stars,Forward,"A dynamic first line scoring centre whose acceleration and top-end speed is matched by few players in the game. As his best, is a one-man rush offence machine who goes from zero to full speed in only a few quick bursts and has the hands, size, and strength to punish defenders who try to disrupt him early. Once he’s in the clear he’s slick on breakaways as well. Has veered towards being a bit of a one-trick pony who increasingly relies on the rush to create offence but does provide value in the zone, as evidenced by his effectiveness as a triggerman in the bumper spot on the powerplay. A skilled passer who sees the ice very well even when he’s in full flight and can make crisp, slick passes to streaking linemates. Takes advantage of his own speed by exploiting the drop pass off an entry to give his linemates extra space to shoot or set up give-and-go plays. Not a high-end defensive contributor at even strength and isn’t much of a hitter or puck retriever, but uses his skating and solid stick as an asset on the penalty kill."
Wyatt Johnston,Dallas Stars,Forward,"A first line centre with a knack for generating piles of scoring chances from deadly areas of the ice. Haunts the slot, not just mindlessly crashing the net but carefully timing his routes and getting to the right place at the right time with his stick on the ice. Weaponizes the goal line, hanging out just far away enough from the back door to get lost, and is unafraid to put pucks on net from places where it shouldn’t really be possible to score. Combined with a great release and sick hands off the rush that often make defenders look incompetent and goalies look horizontal, it’s tough to stop him from getting to the slot. On the powerplay can play the left wing, the net-front, and the bumper successfully because of his versatility as a scorer. Not blazingly fast but very agile and deceptive with the puck on his stick which gives him the extra space he needs to move the puck effectively; when he has time he can execute very clean high-danger passes but otherwise he more often shovels pucks to the right spot which makes him extra-dangerous in the slot. Not big himself (and looks pretty small on the ice) but plays through contact very well. Has the potential to be a solid defensive player but for now is mostly focused on keeping the tempo up and creating offence."
Mason Marchment,Dallas Stars,Forward,
Mikko Rantanen,Dallas Stars,Forward,"A star offensive winger whose size, finishing touch, and passing ability make him one of the toughest players to defend in the league. Can score from anywhere, with an accurate wrist shot from distance, a great one-timer, and a knack for getting to the right area for a cross-seam pass. Is also useful at the net-front where his touch on deflections adds another layer of deception on extended offensive zone possessions. Creates a high volume of chances by passing the puck but is better at making the simple and smart play to a linemate headed towards the slot or an open defenceman at the top of the zone than nailing tape-to-tape feeds through traffic in front. Not an especially prolific transition player mostly because of his linemate, but uses combo of hands and size to protect the puck when carrying it into the offensive zone. For all that he uses his size offensively, he isn’t much of a forechecker, hitter, or battler and is rarely a difference-maker in his own zone. Excels when the games tighten up and his small-area game and versatility become more important."
Jason Robertson,Dallas Stars,Forward,"A star two-way scoring winger with a heavy and accurate wrist shot who contributes at both ends of the ice. Uses his strong 6’3 frame and high hockey IQ to overcome his lack of skating speed and agility, which dropped him in the draft and were never really rectified as he developed. Punishes defenders for giving him space to wind up his shot and has a knack for finding the soft spots on the ice to receive passes and create quality opportunities. Not above mucking it up in front of the net, out-muscling defenders, and jumping on rebounds either. Not typically the primary puck carrier on his line, filling in the blanks in transition with smart quick passes and working out where he needs to be to provide options to his linemates. Has embraced a bigger defensive role, very active in the defensive zone recovering loose pucks and initiating zone exits to tilt the ice in his team’s direction."
Tyler Seguin,Dallas Stars,Forward,
Thomas Harley,Dallas Stars,Defence,"A number one offensive defenceman with a tremendous all-around game. Elite mobility, a ton of skill, and the desire to be involved in absolutely everything on the ice makes him one of the most eye-catching blueliners in the game. Joins the rush with astonishing aggressiveness, often beating his own forwards to the punch and blasting up the middle of the ice at top speed to receive passes and lead the entry. Whereas most blueliners will deliver a break-out pass and then let the forwards take their reins, he takes it as an opportunity to dart up-ice. While calling a defenceman a rover is often a pejorative, he really does look like a forward when he dekes opponents in the neutral zone and carries the puck with speed down the left wing; unlike many with that label he’s an eager defender who uses his motor to get back, disrupt plays, and defend the blueline. Once set up in the offensive zone, walks the line with ease, and fluidly looms around the top of the ice when he doesn’t have the puck, providing cycling options and keeping pucks in. His wicked wrister from the high slot and centre point is his main offensive weapon. In his own end, he’s not a hitter but will aggressively try to kill plays, which often works but sometimes get him stuck in no-man’s land as clever opponents draw him away from the net."
Esa Lindell,Dallas Stars,Defence,
Cody Ceci,Dallas Stars,Defence,
Miro Heiskanen,Dallas Stars,Defence,"An elite franchise defenceman with dynamic skating and puck-handling ability and the capacity to take over shifts. Uses his speed and agility to great effect on both sides of the puck, winning races and initiating break-outs at a high rate and with enviable success while taking away time and space and disrupting plays. If needed, he can be the focal point of the offence, transporting the puck end-to-end and controlling the play from the blue-line, but he can also contribute in more subtle ways by supporting his linemates, gaining the zone and then deferring, and setting up scoring chances."
J.T. Compher,Detroit Red Wings,Forward,"A middle-six shutdown centre who’s added a playmaking dimension to his game in recent years which makes him a reasonable second-line option. While not a physical player or even that prolific a forechecker, he does have a knack for pulling pucks out of corners and to linemates in the middle of the ice. Plays an otherwise careful game with few risks or turnovers. A very efficient scorer in large part because he rarely shoots the puck, and when he does it’s mostly on scramble plays or tap-ins. Despite otherwise strong puck battling, really struggles in the dot."
Andrew Copp,Detroit Red Wings,Forward,
Alex DeBrincat,Detroit Red Wings,Forward,"A top-six scoring winger who gets to the right areas of the ice to fire accurate, if not thunderous, one-timers off the rush, in the slot, and from the left circle on the powerplay. Can also take advantage of extra space to carry the puck to the net and wire it in, although finishing his numerous opportunities to score at even strength  has been a consistent issue lately. By no means a one-dimensional player, is a skilled passer as well who can make heads-up feeds through the middle of the ice and exploit his threat to score to find open linemates. A fairly slow skater although clever enough to create odd-man opportunities and breakaways nonetheless. Small but sturdy frame is fine for protecting the puck but unsurprisingly a non-factor physically or defensively."
Patrick Kane,Detroit Red Wings,Forward,"A veteran offensive winger. At his best, he controls the tempo of the game from the perimeter with manipulative passing, patiently waiting to set-up dangerous chances rather than forcing the play or creating a high volume of shots in tight. Has started to embrace his lack of straight-line speed and create more off of lengthy offensive zone sequences, setting up point shots as well as high-danger cross-ice feeds and reducing his rate of turnovers. Deception remains a core aspect of his game, and he uses it to open shooting lanes and trick goalies, allowing his smooth wrist shot to strike from range. One of the least physical players in the game, with a defensive game limited to opportunistically seeking chances to exit the defensive zone with the puck."
Dylan Larkin,Detroit Red Wings,Forward,"A well-rounded top line centre with superb puck skills. A great skater (although his straightline speed isn’t where it was in his early 20s) and carries the puck with speed in transition from his own end to the offensive zone like few others. A utility goal scorer who can strike off the rush, beat goalies from outside -- sometimes from odd angles or out of mid-air -- or do the dirty work in tight. A clever passer who finds the open man in transition, often favouring the option to hit the trailer rather than force a feed through traffic; also makes sneaky plays out of forechecks and puck battles to set up linemates. Doesn’t have the elite skill in any one area to reach the upper echelon of centres but nonetheless capable of driving a top line. An above-average defensive player who puts in the work in his own zone to break up plays, recover loose pucks, and get the puck out of trouble. Kills penalties and uses his skating to draw them too."
Lucas Raymond,Detroit Red Wings,Forward,"A developing scoring winger with plenty of skill with the puck and a nose for the net. Goes to the dangerous areas of the ice and makes himself available for high-danger feeds from linemates at even strength and as the bumper on the powerplay, which he deposits at a high rate, as well as rebounds and other uglier ways to put the puck in the net. Increasingly comfortable shooting from the outer slot and can beat goalies from range with an accurate wrist shot. Maybe the most promising aspects of his game are his burgeoning confidence with the puck, which combined with his skilled hands leads to some highlight-reel efforts, and an improving and high-upside passing game feeding pucks into the slot. Both of these developments suggest star upside, although they’ll need to be asserted more consistently to get there. A hard worker without the puck but a bit turnover prone and defers to making uncontrolled plays too often in transition."
Vladimir Tarasenko,Detroit Red Wings,Forward,"A veteran scoring winger who can still rip pucks from the perimeter but can also use his size and strength to get to the net. Despite below-average speed, a more limited role as a puck-carrier in transition, and less of a predeliction to take on defenders one-on-one, the rush remains his most consistent avenue for creating offence, and he finds himself in odd-man sequences frequently where he can dish the puck and smack home one-timers. This run-and-gun style puts a lot of stress on his goalies and it doesn’t help that he’s not much of a forechecker or battler, although he will finish his checks."
Moritz Seider,Detroit Red Wings,Defence,"A developing defence-first defenceman capable of shouldering an immensely heavy load against tough competition. Physical presence in the defensive zone has always been the core of his game, not just in terms of punishing hits but using his body to disrupt plays, block shots and passes, separate opponents from the puck, and push rushing forwards to the perimeter. An aggressive transition defender who plays a tight gap and forces forwards to think twice before trying to advance the puck cleanly across his blueline. An efficient defensive skater who gets to and wins loose pucks in his own end. A decent but unexceptional puck-mover who almost always elects to either make the safe play up the wall in transition or confidently carry it up ice himself instead of completing a stretch pass, and eager to join the rush whenever possible. Controls the puck fairly well at the top of the offensive zone and has a strong sense for when to jump up in the play to receive a pass and get a scoring chance."
Simon Edvinsson,Detroit Red Wings,Defence,"A developing two-way defenceman with a terrific tool-kit and plenty of potential at both ends of the ice. His 6’6 size and huge wingspan paired with great footwork and solid mobility allow him to kill plays effectively and aggressively ward off in-coming rush attacks. Plays with a lot of confidence and a high risk tolerance, jumping up in the play and deking through sticks and bodies in the neutral and offensive zone. A high turnover rate and the propensity to occasionally get burned hard is the result, but these details can be ironed out. Displays upside as a puck-mover and has also shown flashes of physical dominance as an in-zone defender."
Ben Chiarot,Detroit Red Wings,Defence,
Connor McDavid,Edmonton Oilers,Forward,"A generational player, dominant at a level arguably not seen in decades. One of the fastest straight-line skaters in the sport but impossibly controlled at top speed, both in terms of agility and puck handling. Frequently blasts past defenders and stickhandles around them while they desperately try to keep up. Elite at everything offensively. Not only an extremely gifted passer technically, but navigates the offensive zone on extended possessions and uses his unparalleled ability with the puck to make defencemen panic and open up passing lanes before exploiting split-second gaps in coverage with a pass straight into the slot. Maybe the best in the league at skating the puck behind the net and emerging on the other side to hit the trailer for a scoring chance; even offensive zone cycles have the fluidity and movement of rush play. In transition, there are few who compare to his brilliance in full flight and with the right partner he can shred defences with odd-man give-and-goes. A pass-first player generally except for the rush where it’s effectively 50/50, and when he scores it’s more likely because he used his hands or pre-shot passing to give himself an opening than because he overpowered the goalie with a snipe. Deploys an arsenal of feints and fakes seemingly in fast-forward that leave goaltenders and often defencemen flat on their face by the time the puck comes off his stick. Has grown into a capable defensive player, no longer recklessly trading chances and improving considerably in terms of play in his own zone and using his speed and skill to proactively strip pucks and tilt the ice. Will never be known for his physical play but is sturdy, strong, and willing to engage along the wall and in dirty areas of the ice."
Leon Draisaitl,Edmonton Oilers,Forward,"A superstar franchise centre who combines passing skill and pinpoint accurate shooting like arguably nobody else in the game. Makes picking corners from anywhere on the ice, including the goal-line, look easy and almost casual, beating goalies with wrist shots, one-timers, and even backhanders with consistency. Elite vision combines with that sublime control of the puck to make him one of the top playmakers in the game, sending precise saucer passes from the forehand and backhand and connecting give-and-go plays on odd-man rushes. This dual-threat status and his ability to score from anywhere has made him one of the best man-advantage players in the game. His slightly hunched-over skating stride lacks the elegance of his generational teammate’s, but it’s sturdy and sneakily powerful and he can move up ice quite quickly both while handling the puck and tracking towards the net off-puck. Creates his own opportunities by deking opponents and protecting the puck. Despite his strong frame, not a physical player and separates opponents from the puck with his stick instead of his body. Possesses some defensive skill but his commitment to that side of the game has been inconsistent."
Trent Frederic,Edmonton Oilers,Forward,"A physical scoring winger who enthusiastically battles for pucks and throws body-checks while displaying flashes of more ambitious play with the puck. Scores most of his goals by jumping on loose pucks in the inner slot, although his shot can beat goalies from range on occasion. Not much of a playmaker save for the occasional dish in a net-front scramble or puck thrown into the slot. Offensive upside is probably capped out but could possibly be a puck retriever and net-front player on a higher line."
Ryan Nugent-Hopkins,Edmonton Oilers,Forward,"A complementary top-six forward who can play centre or left-wing. Whereas his hockey I.Q. used to manifest as high-end playmaking when he was younger, now he uses it to expertly fill in the blanks and work off the puck to connect dots and provide options for his linemates. Can play a net-front role jumping on rebounds and deflecting pucks, can move around the middle of the slot and the back-door to provide targets for high-danger passes, and can execute give-and-go plays at a high level. His vision and patience are on display in transition, where he provides support throughout break-outs by understanding where all his linemates are and sending short-range passes, and on the powerplay where he comfortably moves all over the ice to connect dots for his superstar linemates."
Zach Hyman,Edmonton Oilers,Forward,"A complementary net-front scoring winger who more than makes up for average puck skills through hard work and a nose for the net. Battles through contact along the boards and in the crease to get open, screen the goalie, and get his stick on point shots and loose pucks. Creative when it comes to giving his linemates options, including by using his body as well as his stick as a target to deflect shots and hard passes. Doesn’t control the puck very often in transition but makes simple yet effective plays with it in the offensive zone, including by catching opponents off-guard by making a straight line from the corner to the slot. By no means devoid of skill and can read the play well enough to shovel pucks towards open linemates in the slot. Uses his speed to win races to loose pucks and create quite a few breakaways, and has a good enough shot to beat goalies when he has space to get off a shot from the high slot. Has never been a particularly active defensive player, blowing the zone early and providing most of his off-puck value by forechecking and battling in the offensive zone."
Evander Kane,Edmonton Oilers,Forward,"A shoot-first power forward who plays a simple game premised on speed, checking, and scoring. Can shoot the puck well, gets to the slot, and is still an above-average straight-line skater, but is a poor play-driver at both ends and needs to play with a high-end playmaker to maximize his skillset. Extremely undisciplined when it comes to taking penalties, spending a ton of time in the box for ticky-tack stick infractions like high-sticks, trips, and hooks in addition to the roughings and fights that come with his style of play."
Connor Brown,Edmonton Oilers,Forward,"A middle-six rushing two-way shot-first winger. Reasonably skilled with the puck, capable of carrying it in and generating chances for himself and his linemates in transition. More limited on offensive-zone possessions where he simplifies and goes to the net to receive passes through the slot. Provides defensive value at even strength and the penalty kill using his skating and solid puck management."
Adam Henrique,Edmonton Oilers,Forward,A veteran bottom-six centre who hangs out near the net and waits for the play to come to him. Despite being a scorer is extremely choosy with his shots and generates almost all of his offence on one-timers in the slot. Doesn’t have the wheels to keep up on the rush or the puck skills to be a factor in transition and will never be mistaken for a high-end playmaker. Not a shutdown player but provides some value in his own-zone helping to facilitate zone exits.
Corey Perry,Edmonton Oilers,Forward,A veteran net-front winger who compensates for the near-total erosion of his foot-speed by camping out in the inner slot and putting pucks in the net. Flashes some of his old superstar skill with small-area plays in tight but spends practically no time with the puck on his stick and relies on linemates to carry the play. Still provides peskiness between the whistles.
Evan Bouchard,Edmonton Oilers,Defence,"A #1 offensive defenceman with a booming shot from the point and undeniable and ice-tilting skill as a passer in transition. One of the few blueliners who can beat goaltenders from range with consistency off of one-timed clappers and clever at timing low shots through traffic to be deflected or rebounded. An effective transition player who rarely turns over puck when moving it up-ice, even under tight pressure, and is equally effective carrying it and passing it through the neutral zone. One of the top puck-moving defencemen in the NHL, capable of executing lengthy stretch passes and cycling the puck around the offensive zone effectively. Has some strengths as a defender, such as a good defensive stick that blocks passing lanes & knocks away pucks as well as a knack for recovering loose pucks along the boards and moving them without turning it over, but can also get a bit lost in his own end and has a very frustrating knack to get beat off the rush in humiliating fashion by over-committing at the line and getting walked. Can tend to panic and make the wrong read off a turn-over, compounding mistakes until the puck ends up in his net. The even-keeled disposition that makes his offensive game scale flawlessly to the postseason tends to look like a lack of intensity in those big moments."
Mattias Ekholm,Edmonton Oilers,Defence,"A top-pairing versatile two-way defender who provides a stabilizing presence by preventing chances in his own end and cleanly moving the puck in transition. Uses his high-end defensive stick to break up plays at the blueline and protect the slot, keeping up with opposing forwards with his long reach and solid mobility. Executes plays under pressure in the defensive zone and moves the puck up ice. A low-maintenance partner for an offensive defenceman but has plenty of skill of his own and has no qualms about jumping up in the play and pinching deep into the offensive zone if the opportunity presents himself."
Darnell Nurse,Edmonton Oilers,Defence,"A top four offensive defenceman capable of logging big minutes and carrying the puck. A gifted athlete with impressive mobility for his size who lugs the puck up-ice with speed and enters the offensive zone with the puck frequently. Like Seth Jones and Colton Parayko, he would much rather lean on his skating and strength and carry the puck himself than be forced to make a more creative play and pass the puck to a rushing forward. Plays a relatively simple game in the offensive zone with plenty of pucks on net but is willing to jump up in the play and show flashes of skill. Helps to maintain possession and keep pucks in the o-zone. Can be a bit shaky and turnover prone in his own zone, struggles against heavy pressure in small areas, and is quick to panic and hit the ground. On the other hand, he brings some physicality (although not as much along the boards as you’d expect) and can clear the crease reasonably well."
Brett Kulak,Edmonton Oilers,Defence,"A smooth-skating top four defence-first defender. Not abundantly skilled with the puck but capable of making the safe, clean play and avoiding turnovers. A terrific rush defender who uses his feet and stick to force turnovers and dump-ins at the blueline, although not a remotely physical player. Not much of a presence in the offensive zone aside from sending point shots towards the net."
Jake Walman,Edmonton Oilers,Defence,A top-four offensive defenceman with a cannon of a shot and a willingness to use it. One of the few blueliners who routinely beats goalies with the traditional full-wind-up clapper but can also jump up in the play and get looks from closer to the net. A solid puck-mover in all three zones who’s comfortable carrying and passing the puck in transition and does so at a high volume. Defends reasonably well in his own zone but has trouble preventing opponents from gaining the blueline with possession of the puck. Not particularly physical and can be turnover prone as well.
Aleksander Barkov,Florida Panthers,Forward,"A superstar two-way centre who combines peerless shutdown abilities with terrific offensive ability. Big, sturdy, and strong off and on the puck, leverages all of his physical gifts to make life a  living hell for anybody trying to handle the puck anywhere near him. The best stick-checking forward in the game, blending stick-lifts, poke checks, and body contact to harass puck carriers into giving it up along the wall and in open ice. Unsurprisingly strong in the dot as well. Because of his smarts and offensive ability he’s almost always in the right place to disrupt plays and can turn defence into offence in a second with a clever pass out of a battle. Creates plenty of chances for his linemates by taking contested pucks from the wall and dishing them to the slot but looks to make the safe play up the wall to the defender if the lane isn’t open. A skilled puck handler in transition who can create rush offence himself if the opportunity presents itself but also makes linemates better by hitting them in stride in the neutral zone. A good scorer who uses his size to get inside position in the slot but undeniably a pass-first player."
Sam Reinhart,Florida Panthers,Forward,"An elite top-line scoring winger who combines almost unmatched scoring efficiency with incredible defensive play. His trademark goal is the one-timer from the hashmarks on a pass from behind the net, mostly on the powerplay as a bumper but often at even strength as well, but he’s no tap-in merchant. He can and does score from everywhere, taking his time and picking corners to beat goalies point-blank, including from unconventional spots on the ice. Not a high-volume shooter, and is just as adept a playmaker, using his vision to create give-and-goes and slip pucks across the slot. Plays one of the most efficient and high-I.Q. games in the league, fully aware of everything happening on the ice and able to make a brilliant first touch to improve the condition of the puck, extend a possession, or get himself in shooting position. Increasingly involved in transition, making up for his own lack of footspeed but slowing the play down and keeping defenders guessing to open up passing and shooting lanes, although he has no issue dumping the puck in and trusting his linemates to get to the puck and start a cycle sequence. A consistently superb defensive player, willing to engage physically without throwing bodychecks and using a sneaky stick to break up players with poke checks and stick lifts."
Sam Bennett,Florida Panthers,Forward,"A skilled top six checking centre whose versatility and creativity has made him a terrific utility player in his late 20s. Understandably known mostly for his physical presence, which has become considerable both during active play and between the whistles. Willing to victimize opponents with crushing bodychecks, especially in the corner of the offensive zone, and uses chasing down loose pucks as an opportunity to finish checks hard. As a result, takes a lot of minor penalties, mostly roughings and other infractions related to engaging body-to-body with opponents, not to mention the odd fighting major. However, the offensive skill for which he was drafted fourth overall is still there; he’s a skilled puck carrier in transition who uses above-average skill and excellent hands to navigate the neutral zone with possession of the puck. Once he crosses the blueline he can take on defenders one-on-one or funnel pucks to streaking linemates to create rush chances. During longer cycles, he works along the wall to extend possessions and set up point shots and crashes the net to make himself a target for passes and tips."
Anton Lundell,Florida Panthers,Forward,"A middle-six defence-first centre who plays a stabilizing complementary game. Not a puck-dominant player by any stretch but makes subtle, smart plays to advance the puck, avoid turnovers, and maintain possession. Plays a disruptive, pressuring role with an active stick to force turnovers, get the puck to a near-by linemate, and then crash the net. Upside comes from playmaking ability, an area in which he flashes high-end skill but doesn’t create at a high enough rate."
Brad Marchand,Florida Panthers,Forward,"A veteran playmaking pest. Has slowed down in recent years and isn’t quite the elite creator he once was, but still spends plenty of time with the puck in transition, displays great hands, and distributes the puck around the offensive zone. Has a good enough wrist shot to beat goalies from range but just as happy to muck about in the inner slot jumping on rebounds or getting open for short-range one-timers. Happy to do the dirty work in all three zones and is particularly strong at turning defence to offence quick, both by forcing turnovers and attacking with numbers and by retrieving loose pucks and making the smart play to navigate into the neutral zone."
Nico Sturm,Florida Panthers,Forward,"A bottom-six utility centre who plays a simple crash and bang game with most of his effort focused on chasing pucks, getting to the front of the net, and bashing at rebounds. A strong skater with solid size who wins faceoffs at one of the highest clips in the league, but otherwise quite limited."
Evan Rodrigues,Florida Panthers,Forward,
Matthew Tkachuk,Florida Panthers,Forward,"A star playmaking winger who blends high-end passing skill with a power forward style game.  Oftentimes looks like an agitating, net-crashing utility player when he’s forechecking, finishing checks, getting to the crease, and jamming at pucks in the inner slot, but combines that motor and sensibility with legitimate high-end ability to make his linemates better. Not as elegant or flashy a passer as some of his peers in the upper echelon of the league but gets the puck into the slot nonetheless, often with a defender leaning on him. His extreme lack of foot speed limits his ability to lead the rush himself but he makes up for it by working hard to recover pucks in both ends and initiate zone exits in the defensive zone to get the puck to his speedier teammates. Combine all that with a knack for driving his opponents crazy with between-whistle mischief, borderline legal physical plays, and chirping and you have a player well-suited to tight high-stakes hockey."
Carter Verhaeghe,Florida Panthers,Forward,
