,Player,Position,Height,Weight,Draft Year,2024-2025 Leagues,2024-2025 Team,NHL Rights,2025 NHL Equivalency,Star Probability,NHLer Probability
208,Tristan Delisle,F,"5'11""",172,0,ohl,totals,-,6.94,0.49%,2.08%
989,Adam Jiricek,D,"6'2""",179,1,"wjc-20, ohl",Brantford Bulldogs,St. Louis Blues,7.41,0.49%,7.73%
990,Artyom Bilinchuk,F,"6'0""",187,1,mhl,totals,-,6.53,0.49%,1.86%
209,Jan Chovan,F,"6'2""",190,0,"wjc-18, wjc-20, u20 sm-liiga",Tappara U20,-,5.68,0.49%,2.59%
992,Niko Tournas,F,"6'3""",203,1,nahl,Danbury Jr. Hat Tricks,-,9.39,0.49%,3.87%
210,Samuel Sallinen,F,"6'0""",194,0,usphl-premier,Boston Jr. Bruins,-,4.61,0.49%,1.49%
211,Kade Stengrim,F,"6'4""",201,0,ushl,Youngstown Phantoms,-,3.99,0.49%,3.73%
995,Justin Cote,F,"5'6""",163,3,qmjhl,Québec Remparts,-,10.08,0.49%,0.48%
212,Bruno Osmanis,F,"5'11""",170,0,"allsvenskan, superelit",IF Björklöven J20,-,8.26,0.49%,1.82%
997,Brayden Dube,F,"5'10""",179,1,whl,Prince Albert Raiders,-,11.41,0.49%,1.5%
998,Parker Bell,F,"6'5""",209,3,ahl,Calgary Wranglers,Calgary Flames,6.28,0.49%,5.79%
999,Chris Pelosi,F,"6'1""",181,2,ncaa,Quinnipiac Univ.,Boston Bruins,10.03,0.49%,3.12%
1000,Daniil Molodtsov,D,"6'0""",159,4,vhl,CSK VVS Samara,-,3.11,0.48%,0.13%
213,Rocky Langvardt,D,"5'10""",185,0,superelit,Leksands IF J20,-,4.16,0.48%,2.8%
1002,Chase Pietila,D,"6'2""",187,3,"ncaa, echl",Michigan Tech,Pittsburgh Penguins,8.57,0.48%,3.26%
214,Matyas Humenik,F,"6'0""",181,0,"czech-u20, czech",HC Motor České Budějovice U20,-,6.17,0.48%,1.68%
1004,Sean Tschigerl,F,"6'0""",190,4,usports,Univ. of Alberta,Anaheim Ducks,15.32,0.48%,4.14%
1005,Oskari Luoto,F,"6'1""",181,5,liiga,totals,-,23.19,0.48%,2.23%
1006,Alexei Churkin,F,"5'11""",181,3,"khl, vhl",Zvezda Moskva,-,12.93,0.48%,1.29%
1007,Noah Laba,F,"6'2""",192,4,"ncaa, ahl",Colorado College,New York Rangers,14.32,0.48%,8.17%
1008,Thomas Verdon,F,"6'0""",190,2,qmjhl,Rouyn-Noranda Huskies,-,8.22,0.48%,2.13%
1009,Will Skahan,D,"6'4""",216,1,ncaa,Boston College,Utah Mammoth,3.71,0.48%,5.36%
1010,Yevgeni Tsalpanov,D,"6'1""",165,5,vhl,HK Rostov,-,12.36,0.48%,0.38%
1011,Jack Musa,F,"5'10""",172,4,ncaa,UMass,-,13.9,0.48%,1.38%
1012,Maxime Coursol,F,"6'0""",192,2,qmjhl,Rimouski Océanic,-,7.45,0.48%,1.79%
1013,Krzysztof Macias,F,"6'0""",212,3,whl,totals,-,9.18,0.48%,2.87%
1014,Matthew Lahey,D,"6'5""",203,1,ushl,Fargo Force,Toronto Maple Leafs,3.38,0.48%,2.59%
1015,Jacob Mathieu,F,"5'11""",192,3,qmjhl,Rimouski Océanic,-,10.63,0.48%,1.29%
215,Brandon Gorzynski,F,"6'2""",181,0,whl,Calgary Hitmen,-,7.15,0.48%,3.23%
1017,Amir Nugmanov,F,"5'11""",176,2,mhl,SKA-1946 St. Petersburg,-,10.48,0.48%,2.99%
1018,Aram Minnetian,D,"5'11""",194,2,"wjc-20, ncaa",Boston College,Dallas Stars,6.89,0.48%,1.76%
1019,Matyas Sapovaliv,F,"6'4""",194,3,ahl,Henderson Silver Knights,Vegas Golden Knights,8.55,0.48%,5.7%
1020,Mai Crnkic,F,"6'0""",192,2,"division-1, superelit",Mora IK J20,-,8.57,0.48%,1.67%
1021,Grant Young,F,"5'9""",179,1,ushl,totals,-,5.52,0.47%,0.64%
1022,Dyllan Gill,D,"6'3""",194,3,"ahl, qmjhl",Moncton Wildcats,Tampa Bay Lightning,6.85,0.47%,6.45%
1023,Tanner Henricks,D,"6'4""",205,1,ushl,Lincoln Stars,Columbus Blue Jackets,6.45,0.47%,12.34%
1024,Amine Hajibi,F,"6'1""",185,2,ushl,Cedar Rapids RoughRiders,-,10.93,0.47%,2.98%
1025,Owen Protz,D,"6'2""",207,1,ohl,Brantford Bulldogs,Montreal Canadiens,5.64,0.47%,4.92%
1026,Jakub Dvorak,D,"6'5""",203,2,"wjc-20, ahl",Ontario Reign,Los Angeles Kings,2.83,0.47%,7.6%
1027,Justin Lies,F,"6'1""",205,3,usports,Mount Royal Univ.,-,11.68,0.47%,1.17%
1028,Peteris Bulans,D,"6'0""",185,2,"wjc-20, qmjhl",Chicoutimi Saguenéens,-,4.5,0.47%,2.7%
1029,Sam Oliver,F,"5'11""",183,3,qmjhl,Drummondville Voltigeurs,-,11.42,0.47%,1.49%
1030,Brendan Brisson,F,"6'0""",192,5,"ahl, nhl",totals,Vegas Golden Knights,11.4,0.47%,10.98%
1031,Erik Pahlsson,F,"6'1""",185,3,ncaa,Univ. of Minnesota,Nashville Predators,9.53,0.47%,3.58%
1032,Landon Slaggert,F,"6'0""",181,5,"ahl, nhl",Rockford IceHogs,Chicago Blackhawks,17.92,0.47%,2.65%
216,Artyom Gonchar,D,"6'0""",143,0,mhl,Stalnye Lisy Magnitogorsk,-,5.88,0.47%,0.72%
1034,Matteo Koci,D,"6'0""",190,2,"wjc-20, whl",Kamloops Blazers,-,4.06,0.47%,1.06%
1035,Petter Vesterheim,F,"5'11""",176,2,"allsvenskan, shl",Mora IK,-,11.53,0.47%,2.28%
1036,Lucas St-Louis,D,"5'11""",170,2,ncaa,Harvard Univ.,-,5.3,0.47%,1.83%
217,Noah Jenken,D,"6'3""",190,0,ohl,totals,-,3.57,0.47%,2.45%
218,Maxim Gusev,D,"6'1""",201,0,mhl,totals,-,3.92,0.47%,6.04%
1039,Kenny Connors,F,"6'2""",207,4,ncaa,UMass,Los Angeles Kings,11.52,0.47%,4.2%
1040,Xavier Bourgault,F,"5'11""",179,4,ahl,Belleville Senators,Edmonton Oilers,13.61,0.47%,2.69%
1041,Ludvig Johnson,D,"6'0""",181,1,"wjc-20, nla, u20-elit",EV Zug,-,9.78,0.46%,10.2%
1042,Joey Delgreco,F,"5'10""",205,3,ncaa,Augustana Univ.,-,6.81,0.46%,0.76%
1043,Mael St-Denis,F,"6'0""",196,2,qmjhl,Rimouski Océanic,-,7.01,0.46%,1.7%
1044,Vann Williamson,D,"6'1""",187,1,ohl,Kingston Frontenacs,-,4.69,0.46%,2.02%
1045,Alex Kostov,F,"6'4""",194,1,ohl,Flint Firebirds,-,7.82,0.46%,4.8%
1046,Tanner Ludtke,F,"6'0""",185,2,ncaa,Univ. of Nebraska-Omaha,Arizona Coyotes,3.97,0.46%,1.25%
1047,Jacob Therrien,F,"5'8""",170,1,ohl,North Bay Battalion,-,8.16,0.46%,0.83%
1048,Marek Chaloupka,D,"6'0""",187,1,czech-u20,HC Vítkovice U20,-,5.32,0.46%,1.63%
1049,Alex Pharand,F,"6'3""",192,2,ohl,Sudbury Wolves,Chicago Blackhawks,10.72,0.46%,2.86%
1050,Chase Stefanek,F,"6'2""",192,1,ushl,Muskegon Lumberjacks,-,7.04,0.46%,3.27%
1051,Brandon Svoboda,F,"6'3""",207,2,"wjc-20, ncaa",Boston Univ.,San Jose Sharks,6.88,0.46%,2.01%
1052,Eric Jamieson,D,"6'3""",205,2,whl,Everett Silvertips,Calgary Flames,6.32,0.46%,6.48%
1053,Max Vilen,D,"6'3""",198,1,superelit,Malmö Redhawks J20,-,3.95,0.46%,2.42%
1054,Paul Vinzens,F,"5'11""",187,1,"alpshl, del",RB Hockey Juniors,-,5.2,0.46%,0.57%
219,Felix Palla,D,"6'2""",183,0,usphl-premier,Seattle Totems,-,5.12,0.46%,3.06%
1056,Nathan Pilling,F,"6'4""",209,3,whl,Seattle Thunderbirds,-,11.39,0.46%,4.18%
1057,Elias Straume Vatne,F,"5'9""",165,1,"superelit, shl",Färjestad BK J20,-,8.5,0.46%,0.98%
220,Mikhail Melikov,F,"6'0""",150,0,mhl,MHK Dynamo Moskva,-,7.67,0.46%,1.87%
1059,Ben Riche,F,"5'11""",181,2,whl,totals,-,13.39,0.46%,1.6%
1060,Veeti Miettinen,F,"5'9""",172,5,liiga,totals,Toronto Maple Leafs,16.34,0.46%,0.88%
1061,Nathan Mayes,D,"6'4""",201,1,whl,Spokane Chiefs,Toronto Maple Leafs,5.59,0.46%,5.78%
1062,Itai Gurevich,F,"5'10""",183,1,"vhl, mhl",Mamonty Yugry,-,6.53,0.46%,0.98%
1063,Nikita Prishchepov,F,"6'1""",194,3,"ahl, nhl",Colorado Eagles,Colorado Avalanche,12.04,0.46%,1.97%
1064,Bryce Mcconnell-Barker,F,"6'2""",194,3,ahl,Hartford Wolf Pack,New York Rangers,7.04,0.46%,5.31%
1065,Dylan Roobroeck,F,"6'7""",205,3,ahl,Hartford Wolf Pack,New York Rangers,15.08,0.46%,23.43%
1066,Joona Vaisanen,D,"6'0""",176,3,ncaa,Western Michigan Univ.,Pittsburgh Penguins,9.84,0.46%,1.86%
1067,Ozbej Rep,D,"6'1""",192,1,"allsvenskan, superelit",Södertälje SK J20,-,4.44,0.45%,1.05%
1068,Nicholas Moldenhauer,F,"5'10""",170,3,ncaa,Univ. of Michigan,Toronto Maple Leafs,5.48,0.45%,1.5%
1069,David Green,D,"6'2""",203,1,ushl,Green Bay Gamblers,-,2.65,0.45%,1.86%
1070,Andrew O'Sullivan,D,"5'11""",165,1,ushl,Green Bay Gamblers,-,3.91,0.45%,0.56%
1071,Grayden Slipec,F,"5'10""",190,2,ncaa,Northern Michigan Univ.,-,9.43,0.45%,0.69%
1072,Ross Roloson,D,"5'11""",172,4,ncaa,Niagara Univ.,-,6.01,0.45%,0.1%
1073,Eamon Powell,D,"5'11""",172,5,"ncaa, ahl",Boston College,Tampa Bay Lightning,10.31,0.45%,2.35%
1074,Landan Resendes,F,"5'10""",183,1,ushl,totals,-,6.73,0.45%,0.74%
1075,Diego Johnson,F,"5'11""",179,1,ushl,Madison Capitols,-,8.66,0.45%,2.38%
221,Vaclav Nestrasil,F,"6'6""",185,0,ushl,Muskegon Lumberjacks,-,8.08,0.45%,6.66%
1077,Nikolai Dumchenko,D,"6'4""",203,3,vhl,Gornyak-UGMK,-,8.53,0.45%,5.41%
1078,Maxim Kuznetsov,F,"6'1""",159,5,vhl,HK Tambov,-,20.58,0.45%,2.99%
1079,Ivan Zinchenko,F,"5'8""",163,5,vhl,Dynamo St. Petersburg,-,11.41,0.45%,0.44%
222,Alex Kushnaryov,F,"5'11""",163,0,"mhl, russia-u18",Stalnye Lisy Magnitogorsk,-,5.34,0.45%,1.77%
1081,Markus Vidicek,F,"5'10""",172,3,qmjhl,Moncton Wildcats,-,9.23,0.45%,1.37%
1082,Luka Shcherbyna,F,"5'10""",174,1,whl,Wenatchee Wild,-,9.46,0.45%,1.61%
223,Cole Temple,F,"5'10""",163,0,whl,totals,-,7.6,0.45%,1.61%
1084,Florian Xhekaj,F,"6'4""",205,3,ahl,Laval Rocket,Montreal Canadiens,16.2,0.45%,9.34%
1085,Matthew Desiderio,D,"6'3""",209,2,ushl,Dubuque Fighting Saints,-,7.19,0.45%,6.36%
1086,Mason Zebeski,F,"6'2""",196,1,ohl,Brampton Steelheads,-,6.52,0.45%,1.71%
1087,Chas Sharpe,D,"6'3""",201,3,echl,Cincinnati Cyclones,-,8.79,0.45%,6.86%
1088,Owen Van Steensel,F,"5'10""",185,3,ohl,totals,-,9.34,0.45%,1.6%
1089,Jonathan Castagna,F,"6'2""",203,2,ncaa,Cornell Univ.,Arizona Coyotes,7.45,0.45%,3.26%
1090,Tai Ushio,F,"5'9""",170,1,nahl,Anchorage Wolverines,-,7.26,0.45%,0.54%
1091,Jacob Leblanc,D,"6'1""",187,3,ohl,North Bay Battalion,-,9.03,0.45%,3.27%
1092,Zakary Lavoie,F,"5'11""",194,3,"qmjhl, ohl",Brantford Bulldogs,-,6.14,0.45%,1.24%
1093,Ben Steeves,F,"5'9""",170,5,ahl,Charlotte Checkers,-,14.9,0.45%,0.9%
224,Luke Vlooswyk,D,"6'4""",201,0,whl,Red Deer Rebels,-,2.9,0.44%,4.23%
1095,Cruz Lucius,F,"6'0""",179,3,ncaa,Arizona State Univ.,Carolina Hurricanes,8.36,0.44%,3.85%
1096,Jack Pridham,F,"6'1""",176,1,"ohl, bchl",Kitchener Rangers,Chicago Blackhawks,11.73,0.44%,2.67%
1097,Danny Zhilkin,F,"6'1""",196,3,ahl,Manitoba Moose,Winnipeg Jets,6.03,0.44%,1.24%
1098,Erik Kald,D,"6'3""",198,1,ushl,totals,-,3.2,0.44%,2.05%
1099,Oleg Maistrenko,F,"6'1""",190,2,"khl, mhl",Krasnaya Armiya Moskva,-,9.12,0.44%,2.37%
1100,Conor Walton,D,"6'5""",205,1,ohl,Windsor Spitfires,-,2.36,0.44%,1.65%
1101,Dmitri Katelevsky,F,"6'1""",207,4,khl,Ak Bars Kazan,-,11.05,0.44%,5.02%
1102,Nolan Ritchie,F,"5'10""",181,5,germany3,Heilbronner Falken,-,13.08,0.44%,2.36%
1103,Filip Eriksson,F,"5'11""",179,2,"allsvenskan, shl",Växjö Lakers HC,Montreal Canadiens,8.99,0.44%,1.09%
225,Florian Schenk,F,"6'4""",209,0,"wjc-18, qmjhl, u20-elit",Saint John Sea Dogs,-,3.75,0.44%,3.15%
1105,Isaac Menard,D,"5'10""",174,3,qmjhl,Shawinigan Cataractes,-,5.31,0.44%,0.78%
1106,Emil Kvernmo Wasenden,D,"6'1""",190,3,norway,Frisk Asker,-,11.26,0.44%,3.88%
1107,Hayden Stavroff,F,"5'11""",190,3,ncaa,Dartmouth College,-,11.28,0.44%,1.43%
1108,Luke Woodworth,F,"5'9""",163,3,qmjhl,Drummondville Voltigeurs,-,12.71,0.44%,0.84%
226,Peter Munger,D,"6'3""",190,0,usphl-premier,Bellingham Blazers,-,3.01,0.44%,1.82%
1110,Travis Shoudy,D,"5'10""",161,5,ncaa,Ferris State Univ.,-,7.94,0.44%,0.12%
1111,Tristen Doyle,D,"5'10""",181,1,whl,Lethbridge Hurricanes,-,6.39,0.44%,1.81%
1112,Lukas Sagranden,F,"5'9""",172,2,superelit,Timrå IK J20,-,9.08,0.44%,0.61%
1113,Carlin Dezainde,F,"5'11""",172,2,whl,totals,-,12.45,0.44%,2.3%
227,Stepan Hoch,F,"6'4""",192,0,"czech-u20, czech",HC Motor České Budějovice U20,-,6.02,0.44%,2.7%
228,Carlos Handel,D,"6'1""",174,0,"wjc-20, qmjhl",Halifax Mooseheads,-,4.21,0.44%,1.44%
1116,Mikko Leppa,D,"6'1""",185,1,"qmjhl, u20 sm-liiga",Victoriaville Tigres,-,1.69,0.44%,0.48%
1117,Lukas Peterson,D,"5'10""",168,1,ushl,Green Bay Gamblers,-,8.33,0.44%,2.54%
229,Leonid Levchenko,F,"6'0""",181,0,"mhl, russia-u18",Omskie Yastreby,-,5.91,0.44%,2.1%
1119,Kyle Murray-Smith,F,"6'5""",256,2,nahl,totals,-,0.65,0.44%,1.08%
230,Reese Hamilton,D,"6'1""",170,0,whl,totals,-,2.75,0.44%,5.18%
1121,Aron Jessli,F,"6'1""",198,2,norway,Lørenskog,-,11.74,0.43%,1.14%
231,Jonas Kohn,D,"6'5""",212,0,ushs-mn,Stillwater High,-,2.04,0.43%,3.65%
1123,Ivan Detkov,F,"5'10""",179,3,"khl, vhl, mhl",Yunison-Moskva,-,8.28,0.43%,1.2%
1124,Elias Jankler,D,"5'11""",154,4,division-2,IFK Tumba,-,2.69,0.43%,0.04%
1125,Justin Stupka,F,"6'2""",214,2,ushl,Sioux City Musketeers,-,5.09,0.43%,1.18%
1126,Adam Titlbach,F,"5'9""",168,1,whl,Vancouver Giants,-,7.67,0.43%,0.67%
1127,Ben Zloty,D,"6'0""",187,5,echl,Norfolk Admirals,-,9.99,0.43%,2.92%
1128,Matthew Seminoff,F,"5'11""",187,3,"ahl, echl",Texas Stars,Dallas Stars,5.7,0.43%,1.14%
1129,Adam Hesselvall,F,"6'0""",185,1,"allsvenskan, superelit",Södertälje SK J20,-,7.19,0.43%,1.71%
1130,Sam Laurila,D,"6'1""",192,1,ushl,Fargo Force,-,8.44,0.43%,13.56%
1131,Anthony Dowd,D,"5'7""",152,4,ncaa,Arizona State Univ.,-,5.58,0.43%,0.04%
1132,David Adaszynski,F,"5'11""",196,2,whl,Calgary Hitmen,-,5.11,0.43%,0.9%
1133,Cam Charron,D,"5'10""",185,2,bchl,Cowichan Valley Capitals,-,4.43,0.43%,0.69%
1134,Robert Flinton,F,"6'2""",205,4,ncaa,Dartmouth College,Tampa Bay Lightning,11.92,0.43%,4.57%
232,Mikhail Gamzakov,D,"5'11""",165,0,"vhl, mhl",Gornyak-UGMK,-,3.97,0.43%,1.22%
233,Aiden Young,F,"5'10""",181,0,ohl,Peterborough Petes,-,6.0,0.43%,1.41%
1137,Joseph Mense,D,"6'2""",214,1,ushl,totals,-,3.77,0.43%,2.78%
1138,Ondrej Becher,F,"6'1""",187,3,ahl,Grand Rapids Griffins,Detroit Red Wings,10.82,0.43%,3.89%
1139,Pavol Prokopovic,F,"6'1""",205,1,slovakia-u20,HK Michalovce U20,-,4.18,0.43%,1.92%
234,Timo Kose,F,"6'3""",201,0,"del2, dnl",Eisbären Regensburg,-,5.22,0.43%,2.55%
1141,Vitali Pesterev,D,"6'4""",187,2,"khl, mhl",Almaz Cherepovets,-,7.01,0.43%,3.11%
1142,Viliam Kmec,D,"6'3""",214,3,whl,Prince George Cougars,-,10.87,0.43%,12.67%
235,Artyom Vilchinsky,D,"6'4""",243,0,mhl,SKA-1946 St. Petersburg,-,2.77,0.43%,10.55%
236,Alex Kartashov,F,"6'0""",170,0,russia-u18,MAH Moskva U18,-,5.98,0.43%,2.01%
1145,Karim Vaziyev,D,"6'0""",190,1,mhl,Irbis Kazan,-,2.61,0.43%,0.7%
1146,Francesco Pinelli,F,"6'1""",185,4,ahl,Ontario Reign,Los Angeles Kings,13.23,0.43%,4.07%
1147,Zac Funk,F,"6'0""",194,4,"ahl, echl",Hershey Bears,-,9.08,0.43%,4.76%
1148,Oliver Melnychuk,D,"6'3""",205,1,usphl-premier,Fresno Monsters,-,2.39,0.42%,1.74%
1149,Ryan Healey,D,"6'0""",176,3,ncaa,Harvard Univ.,Minnesota Wild,6.26,0.42%,0.98%
237,Mikhail Vorfolomeyev,F,"5'9""",172,0,mhl,Ladia Togliatti,-,7.19,0.42%,1.27%
1151,Semyon Ibragimov,D,"6'4""",198,4,"khl, vhl",HK Sochi,-,7.05,0.42%,2.14%
1152,Gabriel Eliasson,D,"6'7""",220,1,ohl,Barrie Colts,Ottawa Senators,1.31,0.42%,3.11%
1153,Ethan Edwards,D,"5'10""",176,5,"ncaa, ahl",Univ. of Michigan,New Jersey Devils,9.34,0.42%,0.58%
1154,Mathew Ward,F,"5'9""",168,3,whl,Medicine Hat Tigers,-,7.96,0.42%,0.97%
1155,Yoan Loshing,F,"5'10""",172,3,qmjhl,totals,-,9.6,0.42%,1.14%
238,Alex Khmil,F,"6'1""",194,0,russia-u18,totals,-,4.75,0.42%,1.63%
239,Ben Spurrell,F,"6'2""",161,0,cahs,PWC Cavaliers,-,7.57,0.42%,2.68%
1158,Jakub Chromiak,D,"6'0""",198,1,"wjc-20, ohl",Kitchener Rangers,-,6.78,0.42%,4.58%
1159,Zam Plante,F,"5'10""",170,3,ncaa,Univ. of Minnesota-Duluth,Pittsburgh Penguins,9.63,0.42%,1.56%
240,Hugo Hallin,D,"5'9""",165,0,superelit,MoDo Hockey J20,-,4.64,0.42%,1.49%
241,Andrei Zavadsky,D,"5'9""",137,0,"mhl, russia-u18",Omskie Yastreby,-,4.65,0.42%,0.69%
1162,Igor Safonov,D,"6'4""",212,4,vhl,Yuzhny Ural Orsk,-,14.76,0.42%,15.0%
242,Roman Rizvanov,F,"6'1""",196,0,"mhl, russia-u18",Krasnaya Armiya Moskva,-,1.32,0.42%,1.09%
243,Dmitri Korenev,F,"6'0""",198,0,russia-u18,Salavat Yulaev Ufa U18,-,2.98,0.42%,1.23%
244,Zeb Lindgren,D,"6'1""",198,0,"superelit, shl",Skellefteå AIK J20,-,3.31,0.42%,3.04%
1166,Eduard Golodnyuk,F,"5'11""",176,2,"vhl, mhl",Omskie Krylia,-,10.06,0.42%,1.37%
245,Daniil Kuzmin,D,"6'3""",207,0,mhl,totals,-,2.94,0.42%,4.45%
1168,Sam Oremba,F,"6'2""",196,2,whl,totals,-,7.81,0.42%,1.94%
246,Cooper Dennis,F,"5'6""",150,0,ushl,Dubuque Fighting Saints,-,7.25,0.42%,0.55%
247,Shawn Carrier,F,"5'10""",181,0,qmjhl,Halifax Mooseheads,-,6.88,0.42%,1.46%
1171,Jake Gudelj,F,"6'2""",201,1,whl,Tri-City Americans,-,6.17,0.42%,1.63%
1172,Rowan Calvert,F,"5'11""",190,1,whl,Saskatoon Blades,-,9.59,0.42%,1.24%
1173,Tate Pritchard,F,"6'2""",192,2,ushl,Sioux City Musketeers,-,11.52,0.42%,2.04%
1174,Justin Gendron,F,"6'2""",187,1,qmjhl,totals,-,6.1,0.42%,1.19%
1175,Makar Khanin,F,"6'0""",161,2,mhl,MHK Dynamo Moskva,Montreal Canadiens,6.57,0.42%,2.84%
1176,Oskar Pettersson,F,"6'2""",209,3,ahl,Belleville Senators,Ottawa Senators,7.15,0.42%,1.49%
1177,Wilhelm Rosdahl Folkesson,F,"6'1""",209,2,usphl-premier,Seattle Totems,-,8.84,0.42%,1.53%
1178,Charlie Forslund,F,"6'4""",212,1,"allsvenskan, superelit",Mora IK J20,Detroit Red Wings,4.02,0.42%,2.47%
1179,Artyom Pronichkin,D,"6'0""",165,3,"vhl, mhl",Chelmet Chelyabinsk,-,6.33,0.42%,0.27%
1180,Servac Petrovsky,F,"5'11""",190,3,czech,Bílí Tygři Liberec,Minnesota Wild,4.35,0.42%,1.96%
1181,Mitja Jokinen,D,"5'11""",172,1,"wjc-20, liiga",TPS,-,4.51,0.42%,0.63%
1182,Mason Marcellus,F,"5'9""",165,5,ncaa,Quinnipiac Univ.,-,15.89,0.42%,1.28%
1183,Lucas Ellinas,F,"6'1""",185,1,ohl,Kitchener Rangers,Ottawa Senators,8.74,0.42%,2.46%
1184,Joe Miller,F,"5'10""",165,4,ncaa,Harvard Univ.,Toronto Maple Leafs,13.05,0.42%,1.07%
248,Mason Minor,D,"6'1""",194,0,ushs-mn,Benilde-St. Margaret's School,-,2.69,0.42%,2.72%
1186,Paul Fischer,D,"6'0""",203,2,ncaa,Univ. of Notre Dame,St. Louis Blues,9.27,0.42%,10.49%
1187,Vladimir Mikhalyov,F,"5'11""",176,2,"khl, vhl, mhl",Zauralie Kurgan,-,6.27,0.42%,1.34%
249,David Balaz,F,"5'11""",183,0,czech-u20,HC Sparta Praha U20,-,4.18,0.42%,1.63%
250,Stepan Cerny,D,"5'9""",139,0,"czech-u20, wjc-18",Mountfield HK U20,-,5.14,0.42%,0.82%
251,David Rozsival,F,"6'0""",185,0,"czech-u20, wjc-18, czech",Bílí Tygři Liberec U20,-,6.15,0.42%,2.17%
252,Viktor Sulima,F,"6'2""",179,0,mhl,Russkie Vityazi,-,3.7,0.42%,2.16%
1192,Patrik Juhola,F,"6'3""",205,3,liiga,Ässät,-,8.71,0.42%,2.07%
1193,Arttu Tuhkala,D,"6'0""",174,2,"allsvenskan, wjc-20, superelit, shl",Luleå HF J20,-,3.13,0.42%,0.5%
1194,Carter Lowe,F,"6'3""",214,1,ohl,Barrie Colts,-,5.73,0.42%,2.27%
1195,Michael Hagens,D,"5'11""",187,2,ncaa,Boston College,-,3.44,0.41%,1.31%
1196,Antoine Desrochers,D,"5'10""",150,5,usports,Ontario Tech Univ.,-,8.39,0.41%,0.03%
1197,Javon Moore,F,"6'4""",203,1,ushl,Sioux Falls Stampede,Ottawa Senators,8.17,0.41%,3.42%
1198,Michael Craig,D,"5'10""",174,5,ncaa,Robert Morris Univ.,-,10.89,0.41%,0.41%
253,Oscar Davidsson,F,"6'1""",187,0,"superelit, shl",HV71 J20,-,5.65,0.41%,1.38%
1200,Matthew Butler,F,"5'7""",159,1,qmjhl,Charlottetown Islanders,-,10.0,0.41%,0.93%
1201,Dawson Gerwing,F,"6'4""",231,1,whl,totals,-,5.59,0.41%,5.59%
1202,Jack Hamilton,D,"6'5""",205,1,ushl,Tri-City Storm,-,0.63,0.41%,0.6%
1203,Nazar Burlutsky,D,"5'10""",143,4,vhl,Olimpiya Kirovo-Chepetsk,-,2.15,0.41%,0.01%
1204,Joseph Mcgraw,F,"6'1""",194,1,"ushl, nahl",Northeast Generals,-,8.36,0.41%,1.81%
254,Jami Kakranen,D,"5'10""",181,0,u20 sm-liiga,SaiPa U20,-,5.24,0.41%,1.81%
1206,Artyom Zubarev,D,"5'11""",165,4,vhl,Gornyak-UGMK,-,6.25,0.41%,0.14%
255,Jaxen Adam,D,"6'4""",214,0,whl,Tri-City Americans,-,1.8,0.41%,3.67%
256,Braedyn Rogers,D,"6'0""",181,0,ohl,Owen Sound Attack,-,4.86,0.41%,1.63%
1209,Rashit Samigullin,D,"5'11""",190,2,mhl,Irbis Kazan,-,7.06,0.41%,5.79%
1210,Reid Varkonyi,F,"5'10""",185,1,ushl,Sioux Falls Stampede,-,10.34,0.41%,1.45%
1211,Owen Pitters,F,"5'11""",201,2,nahl,Aberdeen Wings,-,4.6,0.41%,0.61%
1212,Brady Stonehouse,F,"5'10""",194,3,"ahl, ohl",totals,-,6.01,0.41%,1.42%
1213,Matej Prcik,D,"6'2""",207,3,czech,HC Vítkovice,-,9.25,0.41%,6.79%
1214,Joose Inhala,D,"5'11""",192,2,u20 sm-liiga,KooKoo U20,-,4.68,0.41%,1.01%
1215,William Odelius,D,"6'4""",194,1,superelit,Brynäs IF J20,-,2.81,0.41%,1.29%
1216,Julian Lutz,F,"6'2""",194,3,ahl,Tucson Roadrunners,Arizona Coyotes,8.83,0.41%,3.52%
257,Joe Wahlund,D,"6'1""",190,0,"wjc-18, superelit",Färjestad BK J20,-,3.51,0.41%,2.31%
1218,Parker Alcos,D,"6'3""",181,1,whl,Edmonton Oil Kings,Vancouver Canucks,2.64,0.41%,0.84%
1219,Daniel Shlaine,F,"6'0""",185,1,ushl,Lincoln Stars,-,10.97,0.41%,1.84%
258,Theo Ostberg,F,"6'1""",176,0,superelit,Brynäs IF J20,-,5.96,0.41%,2.19%
1221,Tristen Robins,F,"5'10""",176,5,ahl,totals,San Jose Sharks,13.69,0.41%,2.97%
1222,Zayde Wisdom,F,"5'11""",194,5,ahl,Lehigh Valley Phantoms,Philadelphia Flyers,15.03,0.41%,3.43%
1223,Yeremei Shumilin,F,"5'11""",183,4,vhl,Magnitka Magnitogorsk,-,14.04,0.41%,0.68%
1224,Ilya Polyakov,F,"5'11""",190,2,mhl,Loko Yaroslavl,-,5.41,0.41%,1.45%
1225,Daniel Alex Jencko,F,"6'0""",183,2,"wjc-20, ncaa",UMass,-,10.86,0.41%,1.5%
259,William Belle,F,"6'4""",218,0,"ushl, usdp",totals,-,3.18,0.41%,2.15%
1227,Emil Pyanov,F,"6'1""",181,2,"khl, mhl",Severstal Cherepovets,-,8.76,0.41%,2.48%
1228,Matias Bachelet,F,"6'0""",181,3,france,Grenoble,-,16.41,0.41%,1.33%
260,Ruben Westerling,F,"6'0""",192,0,"j18 allsvenskan, superelit, j18-elit",Djurgårdens IF J18,-,4.6,0.41%,1.56%
